date,final_aqi
2022-07-19,112.27848101265823
2022-07-20,100.0
2022-07-21,93.33333333333334
2022-07-22,33.45852631578947
2022-07-23,112.27848101265823
2022-07-24,149.873417721519
2022-07-25,162.40506329113924
2022-07-26,200.0
2022-07-27,213.91304347826087
2022-07-28,187.46835443037975
2022-07-29,174.9367088607595
2022-07-30,174.9367088607595
2022-07-31,162.40506329113924
2022-08-01,174.9367088607595
2022-08-02,187.46835443037975
2022-08-03,187.46835443037975
2022-08-04,141.62135276845638
2022-08-05,142.90864782762276
2022-08-06,88.54191919191918
2022-08-07,43.651578947368414
2022-08-08,60.37017543859648
2022-08-09,124.81012658227849
2022-08-10,124.81012658227849
2022-08-11,112.27848101265823
2022-08-12,137.34177215189874
2022-08-13,174.9367088607595
2022-08-14,162.40506329113924
2022-08-15,162.40506329113924
2022-08-16,174.9367088607595
2022-08-17,174.9367088607595
2022-08-18,162.40506329113924
2022-08-19,174.9367088607595
2022-08-20,48.223404255319146
2022-08-21,37.76315789473684
2022-08-22,31.27684210526316
2022-08-23,124.81012658227849
2022-08-24,174.9367088607595
2022-08-25,174.9367088607595
2022-08-26,162.40506329113924
2022-08-27,162.40506329113924
2022-08-28,200.0
2022-08-29,200.0
2022-08-30,200.0
2022-08-31,187.46835443037975
2022-09-01,187.46835443037975
2022-09-02,86.83200000000001
2022-09-03,193.62526315789472
2022-09-04,40.35263157894737
2022-09-05,117.5070173083716
2022-09-06,317.98816568047334
2022-09-07,317.98816568047334
2022-09-08,323.8461538461538
2022-09-09,347.27810650887574
2022-09-10,335.5621301775148
2022-09-11,329.70414201183434
2022-09-12,306.2721893491124
2022-09-13,187.46835443037975
2022-09-14,149.873417721519
2022-09-15,124.81012658227849
2022-09-16,149.873417721519
2022-09-17,124.81012658227849
2022-09-18,149.873417721519
2022-09-19,124.81012658227849
2022-09-20,256.95652173913044
2022-09-21,242.6086956521739
2022-09-22,137.34177215189874
2022-09-23,143.33333333333334
2022-09-24,130.0
2022-09-25,36.24095744680851
2022-09-26,44.69084210526316
2022-09-27,43.13084210526316
2022-09-28,57.77431578947369
2022-09-29,58.30255319148936
2022-09-30,53.33684210526316
2022-10-01,64.74436170212766
2022-10-02,116.77003745318355
2022-10-03,208.89684210526312
2022-10-04,124.81012658227849
2022-10-05,108.91034828682444
2022-10-06,187.46835443037975
2022-10-07,213.91304347826087
2022-10-08,242.6086956521739
2022-10-09,187.46835443037975
2022-10-10,187.46835443037975
2022-10-11,174.9367088607595
2022-10-12,271.30434782608694
2022-10-13,300.0
2022-10-14,162.40506329113924
2022-10-15,162.40506329113924
2022-10-16,112.27848101265823
2022-10-17,56.4638947368421
2022-10-18,64.92
2022-10-19,54.70106382978723
2022-10-20,52.211789473684206
2022-10-21,91.97780219780219
2022-10-22,68.61968421052632
2022-10-23,26.22373188405797
2022-10-24,213.91304347826087
2022-10-25,174.9367088607595
2022-10-26,174.9367088607595
2022-10-27,162.40506329113924
2022-10-28,187.46835443037975
2022-10-29,162.40506329113924
2022-10-30,137.34177215189874
2022-10-31,99.42234042553193
2022-11-01,114.17683921176638
2022-11-02,206.66666666666666
2022-11-03,174.9367088607595
2022-11-04,162.40506329113924
2022-11-05,228.2608695652174
2022-11-06,300.0
2022-11-07,271.30434782608694
2022-11-08,285.6521739130435
2022-11-09,290.0
2022-11-10,256.95652173913044
2022-11-11,206.66666666666666
2022-11-12,286.6666666666667
2022-11-13,280.0
2022-11-14,312.3076923076923
2022-11-15,310.0
2022-11-16,286.6666666666667
2022-11-17,270.0
2022-11-18,226.66666666666666
2022-11-19,124.81012658227849
2022-11-20,126.66666666666667
2022-11-21,143.33333333333334
2022-11-22,320.7692307692308
2022-11-23,329.2307692307692
2022-11-24,328.46153846153845
2022-11-25,331.53846153846155
2022-11-26,341.42011834319527
2022-11-27,335.38461538461536
2022-11-28,285.6521739130435
2022-11-29,303.0769230769231
2022-11-30,331.53846153846155
2022-12-01,336.9230769230769
2022-12-02,334.61538461538464
2022-12-03,330.7692307692308
2022-12-04,343.84615384615387
2022-12-05,343.84615384615387
2022-12-06,347.6923076923077
2022-12-07,345.38461538461536
2022-12-08,342.3076923076923
2022-12-09,106.32350813743219
2022-12-10,91.36856368563686
2022-12-11,112.51022748145532
2022-12-14,228.2608695652174
2022-12-15,228.2608695652174
2022-12-16,250.0
2022-12-17,300.7692307692308
2022-12-18,273.33333333333337
2022-12-19,236.66666666666669
2022-12-20,290.0
2022-12-21,319.2307692307692
2022-12-22,322.3076923076923
2022-12-23,309.2307692307692
2022-12-24,143.33333333333334
2022-12-25,320.7692307692308
2022-12-26,329.2307692307692
2022-12-27,333.84615384615387
2022-12-28,339.2307692307692
2022-12-29,331.53846153846155
2022-12-30,333.84615384615387
2022-12-31,290.0
2023-01-01,305.38461538461536
2023-01-02,320.0
2023-01-03,318.46153846153845
2023-01-04,310.0
2023-01-05,336.15384615384613
2023-01-06,332.3076923076923
2023-01-07,325.38461538461536
2023-01-08,312.3076923076923
2023-01-09,213.91304347826087
2023-01-10,271.30434782608694
2023-01-11,319.2307692307692
2023-01-12,256.6666666666667
2023-01-13,149.873417721519
2023-01-14,174.9367088607595
2023-01-15,304.61538461538464
2023-01-16,307.6923076923077
2023-01-17,330.0
2023-01-18,339.2307692307692
2023-01-19,340.7692307692308
2023-01-20,316.9230769230769
2023-01-21,304.61538461538464
2023-01-22,206.66666666666666
2023-01-23,270.0
2023-01-24,317.6923076923077
2023-01-25,319.2307692307692
2023-01-26,329.2307692307692
2023-01-27,330.7692307692308
2023-01-28,323.84615384615387
2023-01-29,316.9230769230769
2023-01-30,300.0
2023-01-31,324.61538461538464
2023-02-01,307.6923076923077
2023-02-02,270.0
2023-02-03,300.0
2023-02-04,324.61538461538464
2023-02-05,327.6923076923077
2023-02-06,320.7692307692308
2023-02-07,256.95652173913044
2023-02-08,318.46153846153845
2023-02-09,319.2307692307692
2023-02-10,301.53846153846155
2023-02-11,187.46835443037975
2023-02-12,196.66666666666669
2023-02-13,213.91304347826087
2023-02-14,256.6666666666667
2023-02-15,314.61538461538464
2023-02-16,313.0769230769231
2023-02-17,303.0769230769231
2023-02-18,283.33333333333337
2023-02-19,314.61538461538464
2023-02-20,322.3076923076923
2023-02-21,304.61538461538464
2023-02-22,200.0
2023-02-23,301.53846153846155
2023-02-24,322.3076923076923
2023-02-25,146.80416319321796
2023-02-26,179.64481667255387
2023-02-27,148.10890189918604
2023-02-28,148.09868173790179
2023-03-01,148.43413526071242
2023-03-02,154.04685206340142
2023-03-03,264.3093684210526
2023-03-04,252.8333333
